GEO_ID,NAME,S2301_C04_001E,S2301_C04_001M
1400000US06037121221,"Census Tract 1212.21, Los Angeles County, California",7,3.5
1400000US06037121222,"Census Tract 1212.22, Los Angeles County, California",7.4,4.3
1400000US06037121600,"Census Tract 1216, Los Angeles County, California",4.1,2.4
1400000US06037121801,"Census Tract 1218.01, Los Angeles County, California",8.9,4.3
1400000US06037121802,"Census Tract 1218.02, Los Angeles County, California",6.7,3
1400000US06037121900,"Census Tract 1219, Los Angeles County, California",4,2.7
1400000US06037122000,"Census Tract 1220, Los Angeles County, California",8.3,3.7
1400000US06037122120,"Census Tract 1221.20, Los Angeles County, California",7.9,3.6
1400000US06037122121,"Census Tract 1221.21, Los Angeles County, California",4.9,4.2
1400000US06037122122,"Census Tract 1221.22, Los Angeles County, California",5.6,2.6
1400000US06037122200,"Census Tract 1222, Los Angeles County, California",6.2,3
1400000US06037122410,"Census Tract 1224.10, Los Angeles County, California",11.2,5.2
1400000US06037122420,"Census Tract 1224.20, Los Angeles County, California",6.7,2.9
1400000US06037123010,"Census Tract 1230.10, Los Angeles County, California",4.7,2.7
1400000US06037123020,"Census Tract 1230.20, Los Angeles County, California",6.5,2.3
1400000US06037123103,"Census Tract 1231.03, Los Angeles County, California",4.7,2.8
1400000US06037123104,"Census Tract 1231.04, Los Angeles County, California",6.1,3.7
1400000US06037123203,"Census Tract 1232.03, Los Angeles County, California",8,4
1400000US06037123204,"Census Tract 1232.04, Los Angeles County, California",9.2,4.3
1400000US06037123205,"Census Tract 1232.05, Los Angeles County, California",2.7,2
1400000US06037123206,"Census Tract 1232.06, Los Angeles County, California",5.9,2.8
1400000US06037123301,"Census Tract 1233.01, Los Angeles County, California",7.5,3
1400000US06037123303,"Census Tract 1233.03, Los Angeles County, California",11.4,4
1400000US06037123304,"Census Tract 1233.04, Los Angeles County, California",10.4,5.3
1400000US06037123410,"Census Tract 1234.10, Los Angeles County, California",6.9,3.5
1400000US06037123420,"Census Tract 1234.20, Los Angeles County, California",5.7,3.1
1400000US06037123510,"Census Tract 1235.10, Los Angeles County, California",7.9,3.1
1400000US06037123520,"Census Tract 1235.20, Los Angeles County, California",10.8,4.8
1400000US06037123601,"Census Tract 1236.01, Los Angeles County, California",7.8,3
1400000US06037123602,"Census Tract 1236.02, Los Angeles County, California",5,3.1
1400000US06037123700,"Census Tract 1237, Los Angeles County, California",4.6,2.9
1400000US06037123800,"Census Tract 1238, Los Angeles County, California",4.2,3.1
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",7.4,4.4
1400000US06037123902,"Census Tract 1239.02, Los Angeles County, California",8.4,3.9
1400000US06037124000,"Census Tract 1240, Los Angeles County, California",9.6,3.6
1400000US06037124102,"Census Tract 1241.02, Los Angeles County, California",1.6,1.3
1400000US06037124103,"Census Tract 1241.03, Los Angeles County, California",6.4,4.2
1400000US06037124104,"Census Tract 1241.04, Los Angeles County, California",7.9,3.5
1400000US06037124105,"Census Tract 1241.05, Los Angeles County, California",7,3.7
1400000US06037124201,"Census Tract 1242.01, Los Angeles County, California",12,8.2
1400000US06037124203,"Census Tract 1242.03, Los Angeles County, California",4.9,2.7
1400000US06037124204,"Census Tract 1242.04, Los Angeles County, California",11.9,5.3
1400000US06037124300,"Census Tract 1243, Los Angeles County, California",4.6,3.2
1400000US06037124400,"Census Tract 1244, Los Angeles County, California",7.6,3.1
1400000US06037124500,"Census Tract 1245, Los Angeles County, California",1.6,1.5
1400000US06037124600,"Census Tract 1246, Los Angeles County, California",5.6,2.8
1400000US06037124700,"Census Tract 1247, Los Angeles County, California",2,2
1400000US06037124902,"Census Tract 1249.02, Los Angeles County, California",10,5
1400000US06037124903,"Census Tract 1249.03, Los Angeles County, California",14.3,4.5
1400000US06037125100,"Census Tract 1251, Los Angeles County, California",11.3,5.8
1400000US06037125200,"Census Tract 1252, Los Angeles County, California",11.1,4.9
1400000US06037125310,"Census Tract 1253.10, Los Angeles County, California",6.8,3.2
1400000US06037125320,"Census Tract 1253.20, Los Angeles County, California",6,4.9
1400000US06037125401,"Census Tract 1254.01, Los Angeles County, California",5,3.4
1400000US06037125402,"Census Tract 1254.02, Los Angeles County, California",7.7,2.3
1400000US06037125501,"Census Tract 1255.01, Los Angeles County, California",5.6,2.6
1400000US06037125502,"Census Tract 1255.02, Los Angeles County, California",11.2,3.7
1400000US06037125600,"Census Tract 1256, Los Angeles County, California",8.2,3.3
1400000US06037127102,"Census Tract 1271.02, Los Angeles County, California",12.5,3.6
1400000US06037127103,"Census Tract 1271.03, Los Angeles County, California",6.8,4.8
1400000US06037127104,"Census Tract 1271.04, Los Angeles County, California",8.8,4
1400000US06037127210,"Census Tract 1272.10, Los Angeles County, California",11.3,4.3
1400000US06037127220,"Census Tract 1272.20, Los Angeles County, California",11,5.2
1400000US06037127300,"Census Tract 1273, Los Angeles County, California",5.3,2.8
1400000US06037127400,"Census Tract 1274, Los Angeles County, California",6.8,2.8
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",9.9,4
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",12,4.6
1400000US06037127604,"Census Tract 1276.04, Los Angeles County, California",8.9,4
1400000US06037127605,"Census Tract 1276.05, Los Angeles County, California",10.2,4.3
1400000US06037127606,"Census Tract 1276.06, Los Angeles County, California",5.5,2.9
1400000US06037127711,"Census Tract 1277.11, Los Angeles County, California",9.9,4.6
1400000US06037127712,"Census Tract 1277.12, Los Angeles County, California",6.2,4.4
1400000US06037127803,"Census Tract 1278.03, Los Angeles County, California",6.5,3.8
1400000US06037127804,"Census Tract 1278.04, Los Angeles County, California",9.3,3
1400000US06037127805,"Census Tract 1278.05, Los Angeles County, California",6.8,4.7
1400000US06037127806,"Census Tract 1278.06, Los Angeles County, California",7.7,3.8
1400000US06037127910,"Census Tract 1279.10, Los Angeles County, California",10.8,4.1
1400000US06037127920,"Census Tract 1279.20, Los Angeles County, California",8.5,3.7
1400000US06037128101,"Census Tract 1281.01, Los Angeles County, California",9,3.5
1400000US06037128102,"Census Tract 1281.02, Los Angeles County, California",7,4
1400000US06037128210,"Census Tract 1282.10, Los Angeles County, California",13.2,5.4
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",7.8,5.1
1400000US06037128302,"Census Tract 1283.02, Los Angeles County, California",8.2,4.1
1400000US06037128303,"Census Tract 1283.03, Los Angeles County, California",11.4,4.9
1400000US06037128400,"Census Tract 1284, Los Angeles County, California",3.5,1.8
1400000US06037128500,"Census Tract 1285, Los Angeles County, California",6.4,2.8
1400000US06037128601,"Census Tract 1286.01, Los Angeles County, California",9.2,6.1
1400000US06037128602,"Census Tract 1286.02, Los Angeles County, California",5.6,3
1400000US06037128702,"Census Tract 1287.02, Los Angeles County, California",7.5,3.6
1400000US06037128801,"Census Tract 1288.01, Los Angeles County, California",5.4,3.4
1400000US06037128802,"Census Tract 1288.02, Los Angeles County, California",2.9,2.5
1400000US06037128910,"Census Tract 1289.10, Los Angeles County, California",8.6,3.2
1400000US06037131010,"Census Tract 1310.10, Los Angeles County, California",5.3,2.2
1400000US06037131020,"Census Tract 1310.20, Los Angeles County, California",2.9,1.7
1400000US06037131100,"Census Tract 1311, Los Angeles County, California",3.8,2.4
1400000US06037131200,"Census Tract 1312, Los Angeles County, California",2.4,2.4
1400000US06037131300,"Census Tract 1313, Los Angeles County, California",5.4,3
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",6.1,2.9
1400000US06037131600,"Census Tract 1316, Los Angeles County, California",7.4,3.2
1400000US06037131701,"Census Tract 1317.01, Los Angeles County, California",11.2,4.5
1400000US06037131702,"Census Tract 1317.02, Los Angeles County, California",7.1,3.6
1400000US06037131800,"Census Tract 1318, Los Angeles County, California",5.5,2.7
1400000US06037131900,"Census Tract 1319, Los Angeles County, California",9.5,4.2
1400000US06037132001,"Census Tract 1320.01, Los Angeles County, California",6.3,4.3
1400000US06037132002,"Census Tract 1320.02, Los Angeles County, California",4.3,3.2
1400000US06037132101,"Census Tract 1321.01, Los Angeles County, California",5,3.2
1400000US06037132102,"Census Tract 1321.02, Los Angeles County, California",7.8,3.9
1400000US06037132300,"Census Tract 1323, Los Angeles County, California",3.3,2.1
1400000US06037132501,"Census Tract 1325.01, Los Angeles County, California",5.2,4.1
1400000US06037132502,"Census Tract 1325.02, Los Angeles County, California",14.7,5.4
1400000US06037132700,"Census Tract 1327, Los Angeles County, California",2.3,2.1
1400000US06037132900,"Census Tract 1329, Los Angeles County, California",6.3,3.4
1400000US06037133000,"Census Tract 1330, Los Angeles County, California",11,5
1400000US06037133100,"Census Tract 1331, Los Angeles County, California",3.1,1.9
1400000US06037134001,"Census Tract 1340.01, Los Angeles County, California",3.9,2.1
1400000US06037134002,"Census Tract 1340.02, Los Angeles County, California",7,2.8
1400000US06037134101,"Census Tract 1341.01, Los Angeles County, California",9.8,5.5
1400000US06037134103,"Census Tract 1341.03, Los Angeles County, California",5.6,3.2
1400000US06037134104,"Census Tract 1341.04, Los Angeles County, California",3.8,2
1400000US06037134201,"Census Tract 1342.01, Los Angeles County, California",4.6,2.7
1400000US06037134302,"Census Tract 1343.02, Los Angeles County, California",11.5,4.9
1400000US06037134303,"Census Tract 1343.03, Los Angeles County, California",6.2,2.5
1400000US06037134304,"Census Tract 1343.04, Los Angeles County, California",5.3,3
1400000US06037134305,"Census Tract 1343.05, Los Angeles County, California",7.4,3.8
1400000US06037134306,"Census Tract 1343.06, Los Angeles County, California",5.8,3.1
1400000US06037134421,"Census Tract 1344.21, Los Angeles County, California",5.7,3
1400000US06037134422,"Census Tract 1344.22, Los Angeles County, California",5.5,3.1
1400000US06037134423,"Census Tract 1344.23, Los Angeles County, California",5.7,3.2
1400000US06037134424,"Census Tract 1344.24, Los Angeles County, California",7,2.6
1400000US06037134520,"Census Tract 1345.20, Los Angeles County, California",4.4,1.9
1400000US06037134521,"Census Tract 1345.21, Los Angeles County, California",7.4,3.7
1400000US06037134522,"Census Tract 1345.22, Los Angeles County, California",8.6,3.9
1400000US06037134710,"Census Tract 1347.10, Los Angeles County, California",7.4,3.1
1400000US06037134720,"Census Tract 1347.20, Los Angeles County, California",10.8,3.9
1400000US06037134800,"Census Tract 1348, Los Angeles County, California",5.1,2.2
1400000US06037134901,"Census Tract 1349.01, Los Angeles County, California",3.8,2.8
1400000US06037134903,"Census Tract 1349.03, Los Angeles County, California",5.5,3.2
1400000US06037134904,"Census Tract 1349.04, Los Angeles County, California",3.5,2.1
1400000US06037134905,"Census Tract 1349.05, Los Angeles County, California",7.3,3.2
1400000US06037135102,"Census Tract 1351.02, Los Angeles County, California",5.6,4.5
1400000US06037135111,"Census Tract 1351.11, Los Angeles County, California",2.9,3.2
1400000US06037135113,"Census Tract 1351.13, Los Angeles County, California",4.2,3
1400000US06037135114,"Census Tract 1351.14, Los Angeles County, California",17.3,9.6
1400000US06037135201,"Census Tract 1352.01, Los Angeles County, California",0.9,1
1400000US06037135202,"Census Tract 1352.02, Los Angeles County, California",7.2,3.1
1400000US06037135203,"Census Tract 1352.03, Los Angeles County, California",3.1,2.2
1400000US06037137000,"Census Tract 1370, Los Angeles County, California",6.5,3.2
1400000US06037137103,"Census Tract 1371.03, Los Angeles County, California",2.1,2.1
1400000US06037137104,"Census Tract 1371.04, Los Angeles County, California",7.9,4.8
1400000US06037137201,"Census Tract 1372.01, Los Angeles County, California",9.3,6.3
1400000US06037137301,"Census Tract 1373.01, Los Angeles County, California",4.9,2.4
1400000US06037137302,"Census Tract 1373.02, Los Angeles County, California",5.2,3.2
1400000US06037137401,"Census Tract 1374.01, Los Angeles County, California",8.9,4.9
1400000US06037137402,"Census Tract 1374.02, Los Angeles County, California",4.3,3.4
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",9.8,5
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",3.8,2
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",2.8,2.2
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",7.4,3
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",3.9,3
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",8,4.4
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",6.5,2.4
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",6.9,3.5
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",7.7,3.7
1400000US06037139401,"Census Tract 1394.01, Los Angeles County, California",3.5,3.4
1400000US06037139402,"Census Tract 1394.02, Los Angeles County, California",6.7,2.7
1400000US06037139502,"Census Tract 1395.02, Los Angeles County, California",11.4,5.2
1400000US06037139503,"Census Tract 1395.03, Los Angeles County, California",5.8,3.3
1400000US06037139504,"Census Tract 1395.04, Los Angeles County, California",8.9,4.2
1400000US06037139600,"Census Tract 1396, Los Angeles County, California",7.3,3.5
1400000US06037139701,"Census Tract 1397.01, Los Angeles County, California",2.2,1.9
1400000US06037139702,"Census Tract 1397.02, Los Angeles County, California",4.7,3.6
1400000US06037139703,"Census Tract 1397.03, Los Angeles County, California",4.9,3.1
1400000US06037139801,"Census Tract 1398.01, Los Angeles County, California",5.8,3.7
1400000US06037139802,"Census Tract 1398.02, Los Angeles County, California",4.2,3.3
1400000US06037141101,"Census Tract 1411.01, Los Angeles County, California",6.6,3.8
1400000US06037141102,"Census Tract 1411.02, Los Angeles County, California",6.2,3.9
1400000US06037141201,"Census Tract 1412.01, Los Angeles County, California",6.1,2.8
1400000US06037141202,"Census Tract 1412.02, Los Angeles County, California",10.1,5.1
1400000US06037141302,"Census Tract 1413.02, Los Angeles County, California",7.7,5.1
1400000US06037141303,"Census Tract 1413.03, Los Angeles County, California",5.6,3
1400000US06037141304,"Census Tract 1413.04, Los Angeles County, California",7.1,3.6
1400000US06037141400,"Census Tract 1414, Los Angeles County, California",3.6,2.1
1400000US06037141500,"Census Tract 1415, Los Angeles County, California",5.3,3.8
1400000US06037141600,"Census Tract 1416, Los Angeles County, California",12.7,4.9
1400000US06037141700,"Census Tract 1417, Los Angeles County, California",5.5,3.4
1400000US06037143100,"Census Tract 1431, Los Angeles County, California",7.6,4.3
1400000US06037143200,"Census Tract 1432, Los Angeles County, California",9.6,3.4
1400000US06037143300,"Census Tract 1433, Los Angeles County, California",5.9,3.5
1400000US06037143400,"Census Tract 1434, Los Angeles County, California",5.5,2.6
1400000US06037143500,"Census Tract 1435, Los Angeles County, California",9.8,4.4
1400000US06037143602,"Census Tract 1436.02, Los Angeles County, California",10.7,4.8
1400000US06037143603,"Census Tract 1436.03, Los Angeles County, California",6.6,3.2
1400000US06037143604,"Census Tract 1436.04, Los Angeles County, California",10.6,5.4
1400000US06037143700,"Census Tract 1437, Los Angeles County, California",8,5.2
1400000US06037143800,"Census Tract 1438, Los Angeles County, California",6.1,3.7
1400000US06037143901,"Census Tract 1439.01, Los Angeles County, California",12.6,4.6
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",5.8,3.7
1400000US06037181000,"Census Tract 1810, Los Angeles County, California",4.5,2.8
1400000US06037181300,"Census Tract 1813, Los Angeles County, California",3.5,2.1
1400000US06037181400,"Census Tract 1814, Los Angeles County, California",7.8,4.6
1400000US06037181500,"Census Tract 1815, Los Angeles County, California",8.1,4
1400000US06037181600,"Census Tract 1816, Los Angeles County, California",11.6,3.6
1400000US06037183101,"Census Tract 1831.01, Los Angeles County, California",3.4,2.5
1400000US06037183103,"Census Tract 1831.03, Los Angeles County, California",7.9,3.6
1400000US06037183104,"Census Tract 1831.04, Los Angeles County, California",6.4,3.2
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",8.8,3.9
1400000US06037183221,"Census Tract 1832.21, Los Angeles County, California",8.9,3.7
