id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",694300,65288
1400000US11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",536600,56093
1400000US11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",377200,75187
1400000US11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",592900,33126
1400000US11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",571700,45574
1400000US11001009400,"Census Tract 94, District of Columbia, District of Columbia",508900,37303
1400000US11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",376100,31885
1400000US11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",521100,48772
1400000US11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",471100,27610
1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",452000,26598
1400000US11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",369300,31000
1400000US11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",381000,31717
1400000US11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",420600,20440
1400000US11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",345500,63020
1400000US11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",302700,86686
1400000US11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",261100,58873
1400000US11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",221500,16466
1400000US11001009700,"Census Tract 97, District of Columbia, District of Columbia",256000,44015
1400000US11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",230500,23219
1400000US11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",263400,39942
1400000US11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",301600,51675
1400000US11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",228600,22706
1400000US11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",251100,25873
1400000US11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",-,**
1400000US11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",261500,24422
1400000US11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",427800,82057
1400000US11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",262900,15055
1400000US11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",316200,26190
1400000US11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",286700,55004
1400000US11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",227900,70965
1400000US11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",228500,20435
1400000US11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",292700,51743
1400000US11001010100,"Census Tract 101, District of Columbia, District of Columbia",483700,58851
1400000US11001010200,"Census Tract 102, District of Columbia, District of Columbia",637800,129859
1400000US11001010300,"Census Tract 103, District of Columbia, District of Columbia",470900,26004
1400000US11001010400,"Census Tract 104, District of Columbia, District of Columbia",263500,31502
1400000US11001010500,"Census Tract 105, District of Columbia, District of Columbia",419900,39142
1400000US11001010600,"Census Tract 106, District of Columbia, District of Columbia",619000,74626
1400000US11001010700,"Census Tract 107, District of Columbia, District of Columbia",390900,70397
1400000US11001010800,"Census Tract 108, District of Columbia, District of Columbia",236200,16720
1400000US11001010900,"Census Tract 109, District of Columbia, District of Columbia",-,**
1400000US11001011000,"Census Tract 110, District of Columbia, District of Columbia",353300,27414
1400000US11001011100,"Census Tract 111, District of Columbia, District of Columbia",461700,48580
